timestamp,test_name,step_number,phase,tool_name,cpu_time_ms,cycles,instructions,ipc,branch_misses,llc_misses
2026-04-10 17:43:09,Exp5_IO_Vanilla,1,LLM_Framework_Overhead,None,18.17,47287625,77624045,1.642,154040,71611
2026-04-10 17:43:09,Exp5_IO_Vanilla,1,Tool_Execution,walk_directory,0.0,4818819,10311624,2.14,9245,716
2026-04-10 17:43:12,Exp5_IO_Vanilla,2,LLM_Framework_Overhead,None,3.59,6197284,9935631,1.603,24957,10999
